request_id,created_at,status_code,time_to_first_token,time_to_completion,model,api_key_id,project_id,input_tokens,input_non_cached_tokens,input_cached_tokens,input_audio_seconds,output_tokens,error
req_01ks28634yets82njf6f0me4md,1779265899678,400,0,0.000498,deepseek-r1-distill-llama-70b,key_01krwwnjdtfsmb85yzw3w6qpkn,project_01krg4y4z2edptxs4m7b1c78hc,0,0,0,0,0,"{\"code\":\"model_decommissioned\",\"message\":\"The model `deepseek-r1-distill-llama-70b` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.\",\"param\":\"\",\"type\":\"invalid_request_error\"}"
req_01ks283a7hehy8mvgje8yn3442,1779265808625,200,0.468915,0.557469,meta-llama/llama-4-scout-17b-16e-instruct,key_01krwwnjdtfsmb85yzw3w6qpkn,project_01krg4y4z2edptxs4m7b1c78hc,3208,3208,0,0,40
req_01ks2836vneh8abpsk0y1f8asv,1779265805173,200,1.763981,1.805157,meta-llama/llama-4-scout-17b-16e-instruct,key_01krwwnjdtfsmb85yzw3w6qpkn,project_01krg4y4z2edptxs4m7b1c78hc,3187,3187,0,0,19
req_01ks2828sgecrr0yhatvp384e9,1779265774384,200,0.383802,0.506362,meta-llama/llama-4-scout-17b-16e-instruct,key_01krwwnjdtfsmb85yzw3w6qpkn,project_01krg4y4z2edptxs4m7b1c78hc,3092,3092,0,0,55
req_01ks281va9ebfsapa5hv0313bg,1779265760585,200,0.333975,0.368311,meta-llama/llama-4-scout-17b-16e-instruct,key_01krwwnjdtfsmb85yzw3w6qpkn,project_01krg4y4z2edptxs4m7b1c78hc,3057,3057,0,0,16
req_01ks281mfqehrbtkaysfwh00ra,1779265753591,200,0.245041,0.918727,meta-llama/llama-4-scout-17b-16e-instruct,key_01krwwnjdtfsmb85yzw3w6qpkn,project_01krg4y4z2edptxs4m7b1c78hc,2552,2552,0,0,295
req_01ks280xh4e7mtjw4m25mr0d3v,1779265730084,200,0.160422,0.278258,meta-llama/llama-4-scout-17b-16e-instruct,key_01krwwnjdtfsmb85yzw3w6qpkn,project_01krg4y4z2edptxs4m7b1c78hc,2565,2565,0,0,53
req_01ks280t4qe6yasqa7p1qnqfzw,1779265726615,200,0.175259,0.198133,meta-llama/llama-4-scout-17b-16e-instruct,key_01krwwnjdtfsmb85yzw3w6qpkn,project_01krg4y4z2edptxs4m7b1c78hc,2518,2518,0,0,11
req_01ks27zwbsfs893jcrtz1zn194,1779265696121,200,0.164566,0.227827,meta-llama/llama-4-scout-17b-16e-instruct,key_01krwwnjdtfsmb85yzw3w6qpkn,project_01krg4y4z2edptxs4m7b1c78hc,2430,2430,0,0,29
req_01ks27zv0se1v9j3a8tc6bahq5,1779265694745,200,0.487313,0.985596,meta-llama/llama-4-scout-17b-16e-instruct,key_01krwwnjdtfsmb85yzw3w6qpkn,project_01krg4y4z2edptxs4m7b1c78hc,2317,2317,0,0,221
req_01ks27xyzxe29ry4tzw412asbr,1779265633277,200,0.951649,1.177949,meta-llama/llama-4-scout-17b-16e-instruct,key_01krwwnjdtfsmb85yzw3w6qpkn,project_01krg4y4z2edptxs4m7b1c78hc,2252,2252,0,0,101
